feature,mean_abs_shap
cat__purpose_small_business,0.42068267
num__loan_amnt,0.3410762
cat__purpose_moving,0.32757035
cat__purpose_medical,0.2865581
num__fico_n,0.25965872
num__revenue,0.20149957
cat__zip_code_222xx,0.17558189
cat__purpose_vacation,0.1714991
cat__addr_state_WV,0.17083384
cat__addr_state_NH,0.16812627
cat__purpose_major_purchase,0.16143347
cat__purpose_credit_card,0.15598223
num__dti_n,0.15262215
cat__addr_state_DC,0.13978523
cat__addr_state_OK,0.12138445
cat__purpose_other,0.1202879
cat__addr_state_OR,0.117968515
cat__addr_state_CO,0.104142934
cat__addr_state_AR,0.10383738
cat__home_ownership_n_MORTGAGE,0.10146288
cat__zip_code_482xx,0.09836803
cat__purpose_home_improvement,0.095026396
cat__zip_code_941xx,0.09405658
cat__home_ownership_n_RENT,0.09311773
cat__addr_state_LA,0.09209205
cat__addr_state_AL,0.09075417
cat__addr_state_ME,0.08685615
cat__addr_state_SC,0.07427457
num__emp_length_yrs,0.070730515
cat__addr_state_KS,0.06965477
cat__addr_state_NE,0.067442246
cat__zip_code_083xx,0.06725407
cat__addr_state_WA,0.06295332
cat__addr_state_UT,0.06179412
cat__addr_state_MT,0.059686217
cat__zip_code_146xx,0.057444353
cat__purpose_house,0.05645233
cat__zip_code_104xx,0.056030232
cat__zip_code_820xx,0.054570906
cat__addr_state_WI,0.053859096
cat__zip_code_028xx,0.05335859
cat__zip_code_100xx,0.05280797
cat__zip_code_024xx,0.051863536
cat__zip_code_080xx,0.051491164
cat__zip_code_152xx,0.050885398
cat__addr_state_VT,0.049857065
cat__home_ownership_n_OWN,0.0489359
cat__zip_code_126xx,0.048745777
cat__zip_code_485xx,0.046595693
cat__zip_code_405xx,0.045799963
cat__zip_code_082xx,0.044472136
cat__zip_code_300xx,0.043413203
cat__zip_code_018xx,0.042093523
cat__zip_code_952xx,0.040594887
cat__zip_code_746xx,0.03963893
cat__zip_code_736xx,0.038477596
cat__zip_code_438xx,0.03846064
cat__zip_code_330xx,0.038429897
cat__zip_code_959xx,0.038085062
cat__zip_code_283xx,0.036893584
cat__zip_code_891xx,0.036185745
cat__zip_code_802xx,0.035855796
cat__zip_code_797xx,0.03585486
cat__zip_code_021xx,0.03578087
cat__zip_code_721xx,0.034061912
cat__purpose_renewable_energy,0.033534132
cat__zip_code_738xx,0.033222284
cat__zip_code_703xx,0.033139948
cat__addr_state_CA,0.032651234
cat__zip_code_389xx,0.03260949
cat__zip_code_815xx,0.032122727
cat__zip_code_238xx,0.031695567
cat__addr_state_CT,0.031040296
cat__addr_state_KY,0.030731788
cat__zip_code_933xx,0.03048621
cat__addr_state_NY,0.030230539
cat__zip_code_763xx,0.029982602
cat__addr_state_MS,0.02825517
cat__zip_code_794xx,0.02764412
cat__zip_code_928xx,0.02749706
cat__zip_code_705xx,0.027385945
cat__zip_code_787xx,0.027332492
cat__zip_code_993xx,0.02675911
cat__addr_state_MO,0.026044773
cat__zip_code_727xx,0.02538078
cat__zip_code_912xx,0.025199018
cat__addr_state_FL,0.024287771
cat__zip_code_992xx,0.023840727
cat__addr_state_GA,0.023459427
cat__zip_code_066xx,0.023142895
cat__zip_code_560xx,0.022810346
cat__zip_code_153xx,0.021769343
cat__addr_state_HI,0.021180548
cat__zip_code_047xx,0.020849757
cat__zip_code_537xx,0.019890027
cat__zip_code_212xx,0.019487172
cat__zip_code_368xx,0.018513864
cat__zip_code_730xx,0.018312862
cat__addr_state_WY,0.018228482
cat__zip_code_190xx,0.018062957
