feature,mean_abs_shap
cat__purpose_small_business,0.47294834
cat__purpose_moving,0.42487216
num__loan_amnt,0.33620924
num__fico_n,0.32300982
cat__purpose_medical,0.31210896
num__revenue,0.19680023
cat__purpose_major_purchase,0.16170333
cat__addr_state_VT,0.15724799
cat__zip_code_787xx,0.15472794
num__dti_n,0.14790435
cat__purpose_credit_card,0.116722316
cat__addr_state_DC,0.114316195
cat__purpose_vacation,0.11263933
cat__purpose_other,0.106619224
cat__zip_code_482xx,0.10589856
cat__zip_code_237xx,0.09122165
cat__addr_state_LA,0.09103056
cat__zip_code_024xx,0.090770766
cat__addr_state_OK,0.08733646
cat__home_ownership_n_RENT,0.08627091
cat__addr_state_WV,0.08430533
cat__purpose_car,0.08372149
cat__zip_code_703xx,0.083285846
cat__zip_code_222xx,0.07724425
cat__home_ownership_n_MORTGAGE,0.07560039
cat__zip_code_021xx,0.06760377
cat__addr_state_WA,0.06692277
num__emp_length_yrs,0.06640301
cat__addr_state_NH,0.06600289
cat__zip_code_201xx,0.06403131
cat__addr_state_SC,0.060168993
cat__addr_state_NY,0.059454273
cat__zip_code_738xx,0.05936535
cat__zip_code_464xx,0.058983583
cat__addr_state_CO,0.058447674
cat__zip_code_082xx,0.058026318
cat__purpose_house,0.057566706
cat__addr_state_NE,0.054406025
cat__zip_code_992xx,0.05335927
cat__addr_state_OR,0.052865602
cat__zip_code_080xx,0.05252572
cat__zip_code_207xx,0.047661517
cat__zip_code_104xx,0.047152046
cat__addr_state_ME,0.04672463
cat__zip_code_941xx,0.04671386
cat__zip_code_405xx,0.044247545
cat__zip_code_344xx,0.043366678
cat__addr_state_AR,0.0431588
cat__addr_state_KS,0.0431358
cat__zip_code_920xx,0.04248576
cat__zip_code_914xx,0.042251352
cat__purpose_wedding,0.04173424
cat__addr_state_PA,0.04163679
cat__addr_state_KY,0.04156726
cat__zip_code_606xx,0.041062195
cat__addr_state_WI,0.03948739
cat__zip_code_802xx,0.039457723
cat__addr_state_FL,0.038535457
cat__zip_code_721xx,0.037311867
cat__zip_code_083xx,0.03726843
cat__zip_code_115xx,0.037255716
cat__zip_code_638xx,0.036257032
cat__zip_code_926xx,0.0349411
cat__zip_code_891xx,0.034003116
cat__purpose_home_improvement,0.033962578
cat__addr_state_GA,0.03385703
cat__home_ownership_n_OWN,0.0338373
cat__zip_code_212xx,0.03368078
cat__zip_code_238xx,0.032922752
cat__addr_state_MT,0.03231462
cat__zip_code_736xx,0.031421892
cat__zip_code_933xx,0.029547812
cat__zip_code_100xx,0.028920678
cat__addr_state_MS,0.028740842
cat__purpose_renewable_energy,0.028445724
cat__zip_code_438xx,0.028390205
cat__zip_code_018xx,0.028200526
cat__zip_code_959xx,0.02727163
cat__addr_state_WY,0.027126824
cat__addr_state_CT,0.026668653
cat__zip_code_797xx,0.025510209
cat__zip_code_349xx,0.02537722
cat__addr_state_AL,0.024609996
cat__addr_state_UT,0.024332838
cat__zip_code_415xx,0.022892145
cat__zip_code_331xx,0.022525568
cat__zip_code_302xx,0.021819247
cat__zip_code_560xx,0.021284387
cat__addr_state_CA,0.021192867
cat__zip_code_932xx,0.020323563
cat__zip_code_981xx,0.019834956
cat__zip_code_392xx,0.019796083
cat__zip_code_283xx,0.019575693
cat__zip_code_982xx,0.019522537
cat__zip_code_079xx,0.019408118
cat__addr_state_MO,0.019342992
cat__zip_code_705xx,0.019002432
cat__zip_code_294xx,0.01859182
cat__addr_state_HI,0.018541623
cat__zip_code_725xx,0.018076336
